Feature,data_type,"scale (N, O, I, R)",domain,missing_values
Age,int64,R,"{0, 1, 2, ...}",0
Attrition,int64,N,"{0, 1}",0
BusinessTravel,int64,O,"{0, 1, 2}",0
DistanceFromHome,int64,R,"{0, 1, 2, ...}",0
Education,int64,O,"{1, 2, 3, 4, 5}",0
EnvironmentSatisfaction,int64,O,"{1, 2, 3, 4}",0
Gender,int64,N,"{0, 1}",0
JobInvolvement,int64,O,"{1, 2, 3, 4}",0
JobLevel,int64,O,"{1, 2, 3, 4, 5}",0
JobSatisfaction,int64,O,"{1, 2, 3, 4}",0
MaritalStatus,int64,N,"{0, 1, 2}",0
MonthlyIncome,int64,R,"{0, 1, 2, ...}",0
NumCompaniesWorked,int64,R,"{0, 1, 2, ...}",0
OverTime,int64,N,"{0, 1}",0
PerformanceRating,int64,O,"{1, 2, 3, 4}",0
RelationshipSatisfaction,int64,O,"{1, 2, 3, 4}",0
TotalWorkingYears,int64,R,"{0, 1, 2, ...}",0
TrainingTimesLastYear,int64,R,"{0, 1, 2, ...}",0
WorkLifeBalance,int64,O,"{1, 2, 3, 4}",0
YearsAtCompany,int64,R,"{0, 1, 2, ...}",0
YearsInCurrentRole,int64,R,"{0, 1, 2, ...}",0
YearsSinceLastPromotion,int64,R,"{0, 1, 2, ...}",0
YearsWithCurrManager,int64,R,"{0, 1, 2, ...}",0
